"genes" "astrocyte"
"Hprt" 175.49442473268
"Rps27l" 313.015932347647
"Fam173a" 239.076735044084
"Atp5g3" 438.092352284832
"Egr1" 88.8197711852227
"Sar1b" 317.971060457277
"Rab7" 342.821710754335
"Ywhaz" 328.519381670851
"Mt3" 583.578164981796
"Snrpb" 292.240555077778
"Acot7" 593.562533185134
"Unc50" 339.96668119194
"Polr2g" 321.11503654254
"Fkbp1a" 508.937060841434
"Syngr2" 124.406270538597
"Rps3a2" 248.480469181422
"Psenen" 289.0814155119
"Rpl37a" 267.033944529065
"Puf60" 386.231889343719
"Selenof" 329.142200647206
"Gm10039" 349.913250395307
"Cd164" 78.4947290855375
"Sptssa" 332.050712047507
"P4hb" 242.816219466032
"Arpc5" 260.593540285181
"Nnat" 523.757221815503
"Gjb1" 585.906455374705
"Ccr6" 0.253596828869779
"Arpc4" 115.980267562646
"Cldn10" 595.88617384245
"Slc2a1" 583.450682610495
"Pla2g15" 10.9539625980046
"Tubb4b" 486.946163550936
"Spi1" 0.340406297439925
"Adgre1" 0.469020046021783
"Rps27" 217.781659961618
"Prdx6" 529.208315155247
"Leprot" 220.876154592922
"H2-K1" 124.21024211018
"Serinc1" 366.058962524411
"Sft2d1" 98.694743444834
"Trf" 477.178643418134
"Lgi3" 557.255479223841
"Uqcrfs1" 397.698959537211
"Ier5" 21.0574352645867
"Uqcrh" 378.6454125493
"Rps9" 182.070137453785
"mt-Nd3" 442.567460844219
"Coro1b" 191.255230393735
"Ndufs6" 378.934436376734
"Txnip" 30.3460919930527
"Ndufa7" 386.12410058872
"Tmem9b" 353.576535920757
"Gng5" 254.088631235142
"Asah1" 91.8217307457535
"7-Sep" 480.257749437453
"Ddx5" 179.453056089769
"Ergic3" 200.095866750873
"Tmem147" 312.178282970359
"Josd2" 500.658510007976
"Hmgb1-ps2" 366.947919306876
"Pcbp1" 249.456110800927
"Ndufb6" 378.644094280541
"Cd63-ps" 283.42375167028
"Ap2s1" 327.999472051447
"Rpl10" 154.971032510488
"Tpt1" 308.924657026132
"Ivns1abp" 53.1536156514421
"Lyn" 9.41356367676205
"Tm2d2" 303.193659732042
"Atp5d" 357.246492581474
"Dctn3" 346.280494068389
"Gabarapl2" 364.873222762392
"Tnfaip6" 474.755114318435
"Edf1" 321.118203014451
"Capzb" 144.232454537823
"AC153368.1" 385.122217097325
"Pdia6" 153.782498689047
"Rpl37" 203.028989619925
"Tprgl" 346.29451517393
"Hnrnpa2b1" 296.082511406783
"Ifi30" 23.5856586136132
"Ppt1" 144.157372895272
"Psmc5" 273.780212658521
"Tspan7" 431.296868589108
"Anxa5" 437.232783109267
"Tmed2" 230.797137376761
"Arpc1a" 426.170677439478
"Tbcb" 293.462695816408
"Polr2f" 362.783449289426
"Paip2" 319.922991793166
"Sdhb" 292.933479856011
"Jund" 132.480302742753
"Txn1" 337.627372241101
"Supt4a" 249.676468709164
"Cd82" 328.820596829929
"Cd302" 102.839371098634
"Ndufa5" 355.973176870466
"Ndufv2" 336.773334916332
"Elovl1" 306.815845491984
"Tm9sf2" 216.606848682979
"Hnrnpk" 246.743380287955
"Psat1" 474.060166736172
"Mcrip1" 252.10847474885
"Srsf5" 184.435117795054
"Adrb2" 5.61163791963457
"Fcgr1" 0.418849127882746
"Acot13" 266.772623641234
"Pgp" 408.775205104665
"Tspan14" 127.292991276296
"Ltc4s" 2.33749316566375
"Ftl2-ps" 132.960411231815
"Il18" 326.585710435358
"Ndrg1" 486.697614632242
"Susd3" 0.345145571266018
"Zfp706" 266.250500708817
"Krtcap2" 250.138402111408
"H3f3a" 324.874260069122
"Serpine2" 146.675304507621
"Fa2h" 490.203186102401
"Tmbim4" 247.318821785185
"Tnf" 0.327058147090277
"Hbegf" 317.616549716252
"Tspan13" 183.878859744011
"Map1lc3a" 323.342640645082
"Hist1h1c" 94.8864051633506
"Pnrc1" 177.718370704429
"Rnf187" 333.104362228987
"Mgp" 463.650731194361
"Srsf7" 181.84965916964
"Cldn11" 460.937426201796
"Cd37" 0.37710894290935
"Dusp6" 35.6533159950477
"Hnrnpc" 297.084954003627
"Mea1" 292.506961581775
"Anxa3" 48.8355074199018
"Cldnd1" 338.416924382362
"Ubxn1" 316.038432325525
"Rps3a3" 195.751804945982
"Mpeg1" 0.355118476770113
"Id3" 505.0386193531
"Cox7b" 290.328888875283
"Crip2" 502.280096969322
"Atp5j" 310.804778596783
"Vmp1" 377.893258896249
"Cd48" 0.336721914534135
"Rer1" 230.434516154623
"Npc2" 108.530109525227
"Srsf9" 105.779200480611
"Spcs2" 173.861080257559
"Prr13" 163.442830394005
"Ptpn6" 0.572806306479179
"Rps4x" 167.68844888553
"Bnip3l" 322.492930096159
"Chmp5" 304.017289154926
"Rps17" 238.733938130723
"Cxx1c" 350.558221853757
"Tpi1" 293.004573494316
"Gna12" 315.090840261314
"S100a13" 375.646498401978
"Rab3il1" 7.78204445546384
"Pla2g7" 479.23831587299
"Ldha" 239.591316808757
"Slco2b1" 14.7144715021837
"Serpinb1a" 427.668586554857
"Cebpb" 34.0377618537038
"Atp5f1" 274.754250246596
"Scrg1" 455.875937690452
"Trir" 239.885744830444
"Kctd13" 415.337998382414
"Cox5b" 302.878142126895
"Ndufa3" 291.500709878661
"Atp1a2" 469.83373179222
"Banf1" 279.680505853991
"Arl8a" 326.119060665518
"Rpl38" 286.837408975958
"Mat2a" 267.281118259475
"Gstm7" 444.771863060721
"Sod1" 295.921822488348
"Shisa4" 482.562640427037
"Ctsc" 9.73614522678536
"Gna15" 0.573926438745309
"Ywhab" 228.065701746541
"Klf2" 134.64457746201
"Rnf13" 271.49656728872
"Gm10221" 273.308017896427
"Adprh" 194.194615470039
"Spag7" 216.148702494152
"Gpr183" 0.544650205476254
"H2-T23" 60.4182647503874
"Akap8l" 131.179788336854
"Golm1" 7.09479845678545
"Nudc" 236.755176443991
"Higd1b" 403.138107838805
"Hspa1a" 72.5173182482025
"Ugt8a" 414.634608447444
"Ran" 228.998217886129
"Iscu" 124.031029403345
"Idh3g" 165.096880042452
"Cyb561a3" 21.7229196369926
"Slc50a1" 221.265111511313
"Psmb3" 237.066505553732
"Ndufb4" 284.945075416851
"Sfr1" 269.723407139729
"Gm38158" 0.815538861633019
"Cox6c" 318.92999570816
"Fam162a" 294.578593554162
"Tmed10" 236.811014763648
"Gm11273" 283.05460675202
"Ighj1" 0
"Polr2k" 237.749844715047
"Psma5" 224.264323008013
"Aplp2" 358.441670334949
"Romo1" 239.352597506379
"Tmem212" 349.276165246925
"Mrps21" 223.703519894896
"2410015M20Rik" 250.286862001156
"Atp6v0e" 167.480069593127
"Elovl5" 382.89749354985
"Tmem37" 29.6864433696034
"Camk1" 39.1626937841382
"Atp5k" 287.255087479702
"Sirt2" 324.961515591915
"S100a8" 1.24084771923099
"Laptm4b" 323.334767808704
"Ang" 9.11094215987892
"Copz1" 187.788359593266
"Agpat4" 399.119950219452
"Pfdn5" 202.377671315561
"Pgam1" 263.652712786712
